name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
 'Castledockri_2',1008,0,1.05,,-1.084657547,1.084657547,1,FALSE,TRUE,9,0,0,3.3,19973,17,TRUE,1.1,0.9,
Coolnagloose Community Solar Farm,1389,0,1,,-0.328684105,0.328684105,1,FALSE,TRUE,9,0,0,1,,23,TRUE,1.1,0.9,
Templerainey East Solar Farm (Ballycooleen),1389,0,1,,-1.314736421,1.314736421,1,FALSE,TRUE,9,0,0,4,,23,TRUE,1.1,0.9,
   'CRONELEA_4',1034,0,1.04,,-0.838144468,0.838144468,1,FALSE,TRUE,9,0,0,2.55,19081,17,TRUE,1.1,0.9,
Ballymoney PV,1389,0,1,,-2.958156947,2.958156947,1,FALSE,TRUE,9,0,0,9,,23,TRUE,1.1,0.9,
Coolboy Solar Farm,1389,0,1,,-3.286841052,3.286841052,1,FALSE,TRUE,9,0,0,10,,23,TRUE,1.1,0.9,
Johnstown North PV,1389,0,1,,-7.231050314,7.231050314,1,FALSE,TRUE,9,0,0,22,,23,TRUE,1.1,0.9,
Ballymoney PV ph 2,1389,0,1,,-2.958156947,2.958156947,1,FALSE,TRUE,9,0,0,9.4,,23,TRUE,1.1,0.9,
   'SELTANAV',1397,0,1.04,,-1.511946884,1.511946884,1,FALSE,TRUE,1,0,0,4.6,10674,17,TRUE,1.1,0.9,
    'SPIONKO',1398,0,1.05,,-0.394420926,0.394420926,1,FALSE,TRUE,1,0,0,1.2,10673,17,TRUE,1.1,0.9,
   'KILRONAN',1399,0,1.04,,-1.643420526,1.643420526,1,FALSE,TRUE,1,0,0,5,10672,17,TRUE,1.1,0.9,
    'CORRIEM',1400,0,1.04,,-1.577683705,1.577683705,1,FALSE,TRUE,1,0,0,4.8,10671,17,TRUE,1.1,0.9,
     'Agh_G1',1407,0,1.05,,-58.50577072,58.50577072,1,FALSE,TRUE,10,0,-178,178,10471,14,TRUE,1.1,0.9,
   'AGH_CCGT',1408,222,1.05,,-170,270,1,FALSE,TRUE,10,0,222,431.06,10470,9,TRUE,1.1,0.9,
    'MIENVEE',1411,0,1.05,,-0.216931509,0.216931509,1,FALSE,TRUE,4,0,0,0.66,10276,17,TRUE,1.1,0.9,
   'KNOCKAST',1412,0,1.05,,-2.465130789,2.465130789,1,FALSE,TRUE,4,0,0,7.5,10275,17,TRUE,1.1,0.9,
     'ARDNG4',1413,24,1.05,,-7,15,1,FALSE,TRUE,4,0,5,24,10274,13,TRUE,1.1,0.9,
     'ARDNG3',1414,19,1.05,,-7,15,1,FALSE,TRUE,4,0,5,19,10273,13,TRUE,1.1,0.9,
     'ARDNG2',1415,22,1.05,,-7,15,1,FALSE,TRUE,4,0,5,22,10272,13,TRUE,1.1,0.9,
     'ARDNG1',1416,21,1.05,,-7,15,1,FALSE,TRUE,4,0,5,21,10271,13,TRUE,1.1,0.9,
Garrynacurra Solar Farm (Cratloe Community Solar),1420,0,1,,-1.643420526,1.643420526,1,FALSE,FALSE,4,0,0,5,,23,TRUE,1.1,0.9,
Drummin Solar Farm,1420,0,1,,-16.76288936,16.76288936,1,FALSE,TRUE,4,0,0,51,,23,TRUE,1.1,0.9,
Ballyglass Solar Farm,1420,0,1,,-26.29472841,26.29472841,1,FALSE,TRUE,4,0,0,80,,23,TRUE,1.1,0.9,
Dromsallagh Solar,1422,0,1,,-1.314736421,1.314736421,1,FALSE,TRUE,4,0,0,4,,23,TRUE,1.1,0.9,
Ballymackesy East Solar Farm,1427,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,9,0,0,4,,23,TRUE,1.1,0.9,
Blusheens Solar (2),1427,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,9,0,0,4,,23,TRUE,1.1,0.9,
Ballyglasheen BESS,1432,0,1,63,-19.72104631,19.72104631,1,FALSE,FALSE,8,0,-60,60,,14,TRUE,1.1,0.9,
Rathduff Solar Farm,1432,0,1,,-8.203407458,8.203407458,1,FALSE,TRUE,9,0,0,25,,23,TRUE,1.1,0.9,
Tullamore BESS,1436,0,1,160.65,-50.28866809,50.28866809,1,FALSE,TRUE,11,0,-153,153,,14,TRUE,1.1,0.9,
Thornsberry BESS,1436,0,1,157.5,-49.30261578,49.30261578,1,FALSE,TRUE,11,0,-150,150,,14,TRUE,1.1,0.9,
Tullamore PV,1436,0,1,,-9.860523155,9.860523155,1,FALSE,TRUE,11,0,0,30,,23,TRUE,1.1,0.9,
Clonminch Community Wind Turbine,1436,0,1,,-1.64,1.64,1,FALSE,TRUE,11,0,0,5,,17,TRUE,1.1,0.9,
Ballyteige Solar,1436,0,1,,-29.53226685,29.53226685,1,FALSE,TRUE,11,0,0,90,,23,TRUE,1.1,0.9,
Ballyteige Solar Extension,1436,0,1,,-29.53226685,29.53226685,1,FALSE,TRUE,11,0,0,90,,23,TRUE,1.1,0.9,
Gormagh solar,1436,0,1,,-13.12545193,13.12545193,1,FALSE,TRUE,11,0,-40,40,,14,TRUE,1.1,0.9,
Gormagh BESS,1436,0,1,,-13.12545193,13.12545193,1,FALSE,TRUE,11,0,0,40,,23,TRUE,1.1,0.9,
Moyneard Solar Farm,1437,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,8,0,0,4,,23,TRUE,1.1,0.9,
Rahealty Solar Farm,1437,0,1,,-5.916313893,5.916313893,1,FALSE,FALSE,8,0,0,18,,23,TRUE,1.1,0.9,
Test_PV_3,1439,0,1,,-16,16,1,FALSE,FALSE,5,0,0,50,,23,TRUE,1.1,0.9,
Test BESS reduced,1439,0,1,105,-32.8684,32.8684,1,FALSE,FALSE,0,0,-100,100,,14,TRUE,1.1,0.9,
Barnaleen Solar ext,1440,0,1,,-11.50394368,11.50394368,1,FALSE,TRUE,8,0,0,35,,23,TRUE,1.1,0.9,
Gortdrum Solar PV,1440,0,1,,-15.77683705,15.77683705,1,FALSE,TRUE,8,0,0,48,,23,TRUE,1.1,0.9,
Barnaleen Solar,1440,0,1,,-18.07762578,18.07762578,1,FALSE,TRUE,8,0,0,55,5274,23,TRUE,1.1,0.9,
Ballyvalode solar,1860,0,1,,-37.14130389,37.14130389,1,FALSE,TRUE,8,0,0,113,,23,TRUE,1.1,0.9,
Tawnamore DC Power,1444,0,1,,-23.33657147,23.33657147,1,FALSE,TRUE,2,0,0,71,,9,TRUE,1.1,0.9,
Einagh Solar (prev Moanmore Solar),1447,0,1,,-5.587629788,5.587629788,1,FALSE,FALSE,4,0,0,17,,23,TRUE,1.1,0.9,
